Id,Name,PlayerPhoto_paths,CountryFlag_paths,ClubLogo_paths
210377,João Teixeira,static/images/PlayerPhoto/210377,static/images/CountryFlag/210377,static/images/ClubLogo/210377
251990,Luquinha,static/images/PlayerPhoto/251990,static/images/CountryFlag/251990,static/images/ClubLogo/251990
162409,21 G. Rossi,static/images/PlayerPhoto/162409,static/images/CountryFlag/162409,static/images/ClubLogo/162409
139860,J. Morel,static/images/PlayerPhoto/139860,static/images/CountryFlag/139860,static/images/ClubLogo/139860
231448,R. Nelson,static/images/PlayerPhoto/231448,static/images/CountryFlag/231448,static/images/ClubLogo/231448
231240,E. Mor,static/images/PlayerPhoto/231240,static/images/CountryFlag/231240,static/images/ClubLogo/231240
229218,Pedro Rocha,static/images/PlayerPhoto/229218,static/images/CountryFlag/229218,static/images/ClubLogo/229218
245062,J. González,static/images/PlayerPhoto/245062,static/images/CountryFlag/245062,static/images/ClubLogo/245062
111010,13 Vicente,static/images/PlayerPhoto/111010,static/images/CountryFlag/111010,static/images/ClubLogo/111010
212778,Kwon Kyung Won,static/images/PlayerPhoto/212778,static/images/CountryFlag/212778,static/images/ClubLogo/212778
182836,21 A. Carroll,static/images/PlayerPhoto/182836,static/images/CountryFlag/182836,static/images/ClubLogo/182836
253150,M. Ndayishimiye,static/images/PlayerPhoto/253150,static/images/CountryFlag/253150,static/images/ClubLogo/253150
178614,Varela,static/images/PlayerPhoto/178614,static/images/CountryFlag/178614,static/images/ClubLogo/178614
178111,18 M. Biševac,static/images/PlayerPhoto/178111,static/images/CountryFlag/178111,static/images/ClubLogo/178111
208459,M. Dijks,static/images/PlayerPhoto/208459,static/images/CountryFlag/208459,static/images/ClubLogo/208459
215703,Marlon,static/images/PlayerPhoto/215703,static/images/CountryFlag/215703,static/images/ClubLogo/215703
246728,L. Traoré,static/images/PlayerPhoto/246728,static/images/CountryFlag/246728,static/images/ClubLogo/246728
222265,18 E. Nabiullin,static/images/PlayerPhoto/222265,static/images/CountryFlag/222265,static/images/ClubLogo/222265
202541,21 Jota,static/images/PlayerPhoto/202541,static/images/CountryFlag/202541,static/images/ClubLogo/202541
222553,S. Griesbeck,static/images/PlayerPhoto/222553,static/images/CountryFlag/222553,static/images/ClubLogo/222553
240963,J. García,static/images/PlayerPhoto/240963,static/images/CountryFlag/240963,static/images/ClubLogo/240963
211009,D. Lenihan,static/images/PlayerPhoto/211009,static/images/CountryFlag/211009,static/images/ClubLogo/211009
205934,N. Murru,static/images/PlayerPhoto/205934,static/images/CountryFlag/205934,static/images/ClubLogo/205934
211287,M. Fofana,static/images/PlayerPhoto/211287,static/images/CountryFlag/211287,static/images/ClubLogo/211287
