Rk,Date,Comp,Round,Venue,Squad,Opponent,Start,xG,PSxG,Body Part,Distance,Minute,Score,Goalkeeper,Assist,GCA1,Type,GCA2,Type,Notes
130,2019-05-01,Champions Lg,Semi-finals,Home,Barcelona,Liverpool,Y*,0.79,0.98,Left Foot,2,75,1-0,Alisson,Luis Suárez,Luis Suárez,Shot,,,
131,2019-04-27,La Liga,Matchweek 35,Home,Barcelona,Levante,N,0.18,0.70,Left Foot,11,62,0-0,Aitor Fernández,Arturo Vidal,Lionel Messi,Dribble,Arturo Vidal,Pass (Live),
132,2019-04-16,Champions Lg,Quarter-finals,Home,Barcelona,Manchester Utd,Y*,0.04,0.32,Right Foot,22,20,1-0,David de Gea,,,,,,
133,2019-04-16,Champions Lg,Quarter-finals,Home,Barcelona,Manchester Utd,Y*,0.06,0.53,Left Foot,24,16,0-0,David de Gea,,Lionel Messi,Dribble,,,
134,2019-04-06,La Liga,Matchweek 31,Home,Barcelona,Atlético Madrid,Y*,0.46,0.87,Left Foot,11,86,1-0,Jan Oblak,,Ivan Rakitić,Pass (Live),Malcom,Pass (Live),
135,2019-04-02,La Liga,Matchweek 30,Away,Barcelona,Villarreal,N,0.12,0.64,Left Foot,22,90,2-4,Sergio Asenjo,,Lionel Messi,Fouled,Carles Aleñá,Pass (Live),
136,2019-03-30,La Liga,Matchweek 29,Home,Barcelona,Espanyol,Y*,0.09,0.08,Left Foot,14,89,1-0,Diego López,Malcom,Malcom,Pass (Live),Ivan Rakitić,Pass (Live),
137,2019-03-30,La Liga,Matchweek 29,Home,Barcelona,Espanyol,Y*,0.13,0.15,Left Foot,21,71,0-0,Diego López,,Lionel Messi,Fouled,Luis Suárez,Pass (Live),Deflected
138,2019-03-17,La Liga,Matchweek 28,Away,Barcelona,Betis,Y*,0.05,0.13,Left Foot,18,85,3-1,Pau López,Ivan Rakitić,Ivan Rakitić,Pass (Live),Lionel Messi,Pass (Live),
139,2019-03-17,La Liga,Matchweek 28,Away,Barcelona,Betis,Y*,0.46,0.81,Left Foot,11,45+2,1-0,Pau López,Luis Suárez,Luis Suárez,Pass (Live),Lionel Messi,Pass (Live),
140,2019-03-17,La Liga,Matchweek 28,Away,Barcelona,Betis,Y*,0.08,0.66,Left Foot,26,18,0-0,Pau López,,Arthur Melo,Fouled,Lionel Messi,Pass (Live),
141,2019-03-13,Champions Lg,Round of 16,Home,Barcelona,Lyon,Y*,0.11,0.39,Right Foot,15,78,2-1,Mathieu Gorgelin,,Lionel Messi,Dribble,Sergio Busquets,Pass (Live),
142,2019-03-13,Champions Lg,Round of 16,Home,Barcelona,Lyon,Y*,0.79,0.84,Left Foot,13,18,0-0,Anthony Lopes,,Luis Suárez,Fouled,Luis Suárez,Pass (Live),
143,2019-03-09,La Liga,Matchweek 27,Home,Barcelona,Rayo Vallecano,Y*,0.79,0.99,Left Foot,13,51,1-1,Stole Dimitrievski,,Nélson Semedo,Fouled,Ousmane Dembélé,Pass (Live),
144,2019-02-23,La Liga,Matchweek 25,Away,Barcelona,Sevilla,Y*,0.50,0.47,Left Foot,10,85,2-2,Tomáš Vaclík,,Carles Aleñá,Shot,,,
145,2019-02-23,La Liga,Matchweek 25,Away,Barcelona,Sevilla,Y*,0.07,0.31,Right Foot,17,67,1-2,Tomáš Vaclík,Ousmane Dembélé,Ousmane Dembélé,Pass (Live),Ivan Rakitić,Pass (Live),
146,2019-02-23,La Liga,Matchweek 25,Away,Barcelona,Sevilla,Y*,0.07,0.30,Left Foot,16,26,0-1,Tomáš Vaclík,Ivan Rakitić,Ivan Rakitić,Pass (Live),Luis Suárez,Pass (Live),Volley
147,2019-02-16,La Liga,Matchweek 24,Home,Barcelona,Valladolid,Y*,0.79,1.00,Left Foot,13,43,0-0,Jordi Masip,,Gerard Piqué,Fouled,Lionel Messi,Shot,
148,2019-02-02,La Liga,Matchweek 22,Home,Barcelona,Valencia,Y*,0.03,0.15,Left Foot,26,64,1-2,Neto,Arturo Vidal,Arturo Vidal,Pass (Live),Luis Suárez,Dribble,
149,2019-02-02,La Liga,Matchweek 22,Home,Barcelona,Valencia,Y*,0.79,0.99,Left Foot,13,39,0-2,Neto,,Nélson Semedo,Fouled,Philippe Coutinho,Pass (Live),
150,2019-01-30,Copa del Rey,Quarter-finals,Home,Barcelona,Sevilla,Y*,,,,,90+2,5-1,Juan Soriano,Jordi Alba,,,,,
151,2019-01-27,La Liga,Matchweek 21,Away,Barcelona,Girona,Y*,0.35,0.28,Left Foot,16,68,1-0,Yassine Bounou,Jordi Alba,Jordi Alba,Pass (Live),Luis Suárez,Pass (Live),
152,2019-01-20,La Liga,Matchweek 20,Home,Barcelona,Leganés,N,0.11,0.24,Right Foot,14,90+2,2-1,Iván Cuéllar,Jordi Alba,Jordi Alba,Pass (Live),Lionel Messi,Pass (Live),
153,2019-01-17,Copa del Rey,Round of 16,Home,Barcelona,Levante,Y*,,,,,54,2-0,Aitor Fernández,Nélson Semedo,,,,,
154,2019-01-13,La Liga,Matchweek 19,Home,Barcelona,Eibar,Y*,0.09,0.39,Left Foot,11,53,1-0,Asier Riesgo,Luis Suárez,Luis Suárez,Pass (Live),Philippe Coutinho,Pass (Live),
155,2019-01-06,La Liga,Matchweek 18,Away,Barcelona,Getafe,Y*,0.36,0.59,Left Foot,5,20,0-0,David Soria,,Lionel Messi,Shot,,,
156,2018-12-22,La Liga,Matchweek 17,Home,Barcelona,Celta Vigo,Y*,0.40,0.80,Left Foot,19,45,1-0,Rubén Blanco,Jordi Alba,Jordi Alba,Pass (Live),Sergio Busquets,Pass (Live),
157,2018-12-16,La Liga,Matchweek 16,Away,Barcelona,Levante,Y*,0.71,0.97,Left Foot,4,60,3-0,Oier Olazábal,Arturo Vidal,Arturo Vidal,Pass (Live),Luis Suárez,Pass (Live),Volley
158,2018-12-16,La Liga,Matchweek 16,Away,Barcelona,Levante,Y*,0.06,0.19,Left Foot,16,47,2-0,Oier Olazábal,,Luis Suárez,Pass (Live),,,
159,2018-12-16,La Liga,Matchweek 16,Away,Barcelona,Levante,Y*,0.56,0.68,Right Foot,10,43,1-0,Oier Olazábal,Sergio Busquets,Sergio Busquets,Pass (Live),,,Deflected
160,2018-12-08,La Liga,Matchweek 15,Away,Barcelona,Espanyol,Y*,0.05,0.21,Left Foot,29,65,3-0,Diego López,,Luis Suárez,Fouled,Ousmane Dembélé,Pass (Live),
161,2018-12-08,La Liga,Matchweek 15,Away,Barcelona,Espanyol,Y*,0.05,0.57,Left Foot,31,17,0-0,Diego López,,Lionel Messi,Fouled,Sergio Busquets,Pass (Live),
162,2018-11-28,Champions Lg,Group stage,Away,Barcelona,PSV Eindhoven,Y*,0.07,0.38,Left Foot,14,61,0-0,Jeroen Zoet,Ousmane Dembélé,Ousmane Dembélé,Pass (Live),Lionel Messi,Pass (Live),
163,2018-11-11,La Liga,Matchweek 12,Home,Barcelona,Betis,Y*,0.88,0.98,Left Foot,2,90+2,2-4,Pau López,Arturo Vidal,Arturo Vidal,Pass (Live),Luis Suárez,Pass (Live),
164,2018-11-11,La Liga,Matchweek 12,Home,Barcelona,Betis,Y*,0.79,1.00,Left Foot,13,68,0-2,Pau López,,Jordi Alba,Fouled,Lionel Messi,Pass (Live),
165,2018-10-20,La Liga,Matchweek 9,Home,Barcelona,Sevilla,Y*,0.04,0.44,Left Foot,21,12,1-0,Tomáš Vaclík,Luis Suárez,Luis Suárez,Pass (Live),,,
166,2018-10-07,La Liga,Matchweek 8,Away,Barcelona,Valencia,Y*,0.05,0.46,Left Foot,25,23,0-1,Neto,Luis Suárez,Luis Suárez,Pass (Live),Lionel Messi,Pass (Live),
167,2018-10-03,Champions Lg,Group stage,Away,Barcelona,Tottenham,Y*,0.36,0.81,Left Foot,14,90,3-2,Hugo Lloris,Jordi Alba,Jordi Alba,Pass (Live),Jordi Alba,Interception,
168,2018-10-03,Champions Lg,Group stage,Away,Barcelona,Tottenham,Y*,0.33,0.85,Left Foot,14,56,2-1,Hugo Lloris,Jordi Alba,Jordi Alba,Pass (Live),Lionel Messi,Pass (Live),
169,2018-09-23,La Liga,Matchweek 5,Home,Barcelona,Girona,Y*,0.29,0.84,Left Foot,15,19,0-0,Yassine Bounou,Arturo Vidal,Arturo Vidal,Pass (Live),Arturo Vidal,Dribble,
170,2018-09-18,Champions Lg,Group stage,Home,Barcelona,PSV Eindhoven,Y*,0.42,0.93,Right Foot,13,87,3-0,Jeroen Zoet,Luis Suárez,Luis Suárez,Pass (Live),Arthur Melo,Pass (Live),
171,2018-09-18,Champions Lg,Group stage,Home,Barcelona,PSV Eindhoven,Y*,0.11,0.30,Left Foot,10,77,2-0,Jeroen Zoet,Ivan Rakitić,Ivan Rakitić,Pass (Live),Lionel Messi,Pass (Live),
172,2018-09-18,Champions Lg,Group stage,Home,Barcelona,PSV Eindhoven,Y*,0.08,0.55,Left Foot,26,32,0-0,Jeroen Zoet,,Ousmane Dembélé,Fouled,Ousmane Dembélé,Dribble,
173,2018-09-02,La Liga,Matchweek 3,Home,Barcelona,Huesca,Y*,0.50,0.95,Left Foot,17,61,5-2,Axel Werner,Philippe Coutinho,Philippe Coutinho,Pass (Live),Marc-André ter Stegen,Pass (Live),
174,2018-09-02,La Liga,Matchweek 3,Home,Barcelona,Huesca,Y*,0.09,0.74,Right Foot,11,16,0-1,Axel Werner,Ivan Rakitić,Lionel Messi,Dribble,Ivan Rakitić,Pass (Live),
175,2018-08-18,La Liga,Matchweek 1,Home,Barcelona,Alavés,Y*,0.57,0.96,Left Foot,9,90+2,2-0,Fernando Pacheco,Luis Suárez,Lionel Messi,Dribble,Luis Suárez,Pass (Live),
176,2018-08-18,La Liga,Matchweek 1,Home,Barcelona,Alavés,Y*,0.08,0.18,Left Foot,26,64,0-0,Fernando Pacheco,,Lionel Messi,Fouled,Lionel Messi,Dribble,
,,,,,,,,,,,,,,,,,,,,
177,2018-06-26,FIFA World Cup,Group stage,Neutral,Argentina,Nigeria,Y*,0.12,0.69,Right Foot,10,14,0-0,Francis Uzoho,Éver Banega,Éver Banega,Pass (Live),Marcos Rojo,Pass (Live),
178,2018-05-29,Friendlies (M),Friendlies (M),Home,Argentina,Haiti,Y*,,,,,66,2-0,Johny Placide,Cristian Pavón,,,,,
179,2018-05-29,Friendlies (M),Friendlies (M),Home,Argentina,Haiti,Y*,,,,,58,1-0,Johny Placide,,,,,,
180,2018-05-29,Friendlies (M),Friendlies (M),Home,Argentina,Haiti,Y*,,,,,17,0-0,Johny Placide,,,,,,
,,,,,,,,,,,,,,,,,,,,
181,2018-05-09,La Liga,Matchweek 34,Home,Barcelona,Villarreal,Y,0.58,0.99,Left Foot,4,45,2-0,Sergio Asenjo,Andrés Iniesta,Andrés Iniesta,Pass (Live),Lionel Messi,Pass (Live),
182,2018-05-06,La Liga,Matchweek 36,Home,Barcelona,Real Madrid,Y,0.13,0.35,Left Foot,17,52,1-1,Keylor Navas,Luis Suárez,Lionel Messi,Dribble,Luis Suárez,Pass (Live),
183,2018-04-29,La Liga,Matchweek 35,Away,Barcelona,La Coruña,Y*,0.35,0.70,Left Foot,12,85,3-2,Rubén,Luis Suárez,Luis Suárez,Pass (Live),Denis Suárez,Pass (Live),
184,2018-04-29,La Liga,Matchweek 35,Away,Barcelona,La Coruña,Y*,0.74,0.99,Right Foot,5,82,2-2,Rubén,Luis Suárez,Luis Suárez,Pass (Live),Lionel Messi,Pass (Live),
185,2018-04-29,La Liga,Matchweek 35,Away,Barcelona,La Coruña,Y*,0.26,0.46,Left Foot,8,38,1-0,Rubén,Luis Suárez,Luis Suárez,Pass (Live),Ousmane Dembélé,Pass (Live),Volley
186,2018-04-21,Copa del Rey,Final,Neutral,Barcelona,Sevilla,Y,,,,,31,1-0,David Soria,Jordi Alba,,,,,
187,2018-04-07,La Liga,Matchweek 31,Home,Barcelona,Leganés,Y*,0.75,0.95,Left Foot,4,87,2-1,Iván Cuéllar,Ousmane Dembélé,Ousmane Dembélé,Pass (Live),Ivan Rakitić,Pass (Live),
188,2018-04-07,La Liga,Matchweek 31,Home,Barcelona,Leganés,Y*,0.11,0.43,Left Foot,15,32,1-0,Iván Cuéllar,Philippe Coutinho,Philippe Coutinho,Pass (Live),Ivan Rakitić,Pass (Live),
189,2018-04-07,La Liga,Matchweek 31,Home,Barcelona,Leganés,Y*,0.05,0.22,Left Foot,28,27,0-0,Iván Cuéllar,,Lionel Messi,Fouled,Ousmane Dembélé,Pass (Live),
190,2018-03-31,La Liga,Matchweek 30,Away,Barcelona,Sevilla,N,0.03,0.16,Left Foot,27,89,1-2,Sergio Rico,Philippe Coutinho,Philippe Coutinho,Pass (Live),Jordi Alba,Pass (Live),
191,2018-03-18,La Liga,Matchweek 29,Home,Barcelona,Athletic Club,Y*,0.06,0.23,Left Foot,22,30,1-0,Kepa Arrizabalaga,Ousmane Dembélé,Ousmane Dembélé,Pass (Live),Paulinho,Pass (Live),
192,2018-03-14,Champions Lg,Round of 16,Home,Barcelona,Chelsea,Y,0.09,0.05,Left Foot,12,63,2-0,Thibaut Courtois,Luis Suárez,Lionel Messi,Dribble,Luis Suárez,Pass (Live),
193,2018-03-14,Champions Lg,Round of 16,Home,Barcelona,Chelsea,Y,0.07,0.05,Right Foot,10,3,0-0,Thibaut Courtois,Luis Suárez,Luis Suárez,Pass (Live),Lionel Messi,Pass (Live),
194,2018-03-04,La Liga,Matchweek 27,Home,Barcelona,Atlético Madrid,Y,0.05,0.41,Left Foot,27,26,0-0,Jan Oblak,,Lionel Messi,Fouled,Luis Suárez,Shot,
195,2018-03-01,La Liga,Matchweek 26,Away,Barcelona,Las Palmas,Y,0.11,0.77,Left Foot,22,21,0-0,Leandro Chichizola,,Lionel Messi,Fouled,Lionel Messi,Dribble,
196,2018-02-24,La Liga,Matchweek 25,Home,Barcelona,Girona,Y*,0.09,0.19,Left Foot,25,36,2-1,Yassine Bounou,,Luis Suárez,Fouled,Philippe Coutinho,Pass (Live),
197,2018-02-24,La Liga,Matchweek 25,Home,Barcelona,Girona,Y*,0.10,0.57,Left Foot,12,30,1-1,Yassine Bounou,Luis Suárez,Luis Suárez,Pass (Live),Ivan Rakitić,Pass (Live),
198,2018-02-20,Champions Lg,Round of 16,Away,Barcelona,Chelsea,Y,0.28,0.57,Left Foot,16,75,0-1,Thibaut Courtois,Andrés Iniesta,Andrés Iniesta,Pass (Live),,,
199,2018-01-28,La Liga,Matchweek 21,Home,Barcelona,Alavés,Y,0.07,0.25,Left Foot,24,84,1-1,Fernando Pacheco,,Paco Alcácer,Fouled,Luis Suárez,Pass (Live),
200,2018-01-25,Copa del Rey,Quarter-finals,Home,Barcelona,Espanyol,Y,,,,,25,1-0,Pau López,,,,,,
201,2018-01-21,La Liga,Matchweek 20,Away,Barcelona,Betis,Y*,0.38,0.80,Left Foot,12,80,3-0,Antonio Adán,Luis Suárez,Lionel Messi,Dribble,Lionel Messi,Dribble,
202,2018-01-21,La Liga,Matchweek 20,Away,Barcelona,Betis,Y*,0.44,0.90,Left Foot,14,64,1-0,Antonio Adán,Sergio Busquets,Sergio Busquets,Pass (Live),Sergio Busquets,Tackle,
203,2018-01-14,La Liga,Matchweek 19,Away,Barcelona,Real Sociedad,Y*,0.04,0.20,Left Foot,33,85,3-2,Gerónimo Rulli,,,,,,
204,2018-01-11,Copa del Rey,Round of 16,Home,Barcelona,Celta Vigo,Y,,,,,15,1-0,Sergio Álvarez,,,,,,
205,2018-01-11,Copa del Rey,Round of 16,Home,Barcelona,Celta Vigo,Y,,,,,13,0-0,Sergio Álvarez,Jordi Alba,,,,,
206,2018-01-07,La Liga,Matchweek 18,Home,Barcelona,Levante,Y,0.07,0.51,Left Foot,15,12,0-0,Oier Olazábal,Jordi Alba,Jordi Alba,Pass (Live),Lionel Messi,Pass (Live),Volley
207,2017-12-23,La Liga,Matchweek 17,Away,Barcelona,Real Madrid,Y,0.79,0.97,Left Foot,13,64,1-0,Keylor Navas,,,Fouled,Paulinho,Shot,
208,2017-12-10,La Liga,Matchweek 15,Away,Barcelona,Villarreal,Y*,0.56,0.90,Left Foot,12,83,1-0,Sergio Asenjo,Sergio Busquets,Lionel Messi,Dribble,Lionel Messi,Dribble,
209,2017-12-02,La Liga,Matchweek 14,Home,Barcelona,Celta Vigo,Y,0.27,0.16,Left Foot,12,22,0-1,Rubén Blanco,Paulinho,Paulinho,Pass (Live),Luis Suárez,Pass (Live),
210,2017-10-28,La Liga,Matchweek 10,Away,Barcelona,Athletic Club,Y*,0.11,0.07,Left Foot,14,36,0-0,Kepa Arrizabalaga,Jordi Alba,Jordi Alba,Pass (Live),Lionel Messi,Pass (Live),
211,2017-10-18,Champions Lg,Group stage,Home,Barcelona,Olympiacos,Y,0.09,0.20,Left Foot,24,61,1-0,Silvio Proto,,Lionel Messi,Fouled,Andrés Iniesta,Pass (Live),
,,,,,,,,,,,,,,,,,,,,
212,2017-10-10,WCQ,WCQ — CONMEBOL (M),Away,Argentina,Ecuador,Y,,,,,62,2-1,Máximo Banguera,Enzo Pérez,,,,,
213,2017-10-10,WCQ,WCQ — CONMEBOL (M),Away,Argentina,Ecuador,Y,,,,,20,1-1,Máximo Banguera,,,,,,
214,2017-10-10,WCQ,WCQ — CONMEBOL (M),Away,Argentina,Ecuador,Y,,,,,12,0-1,Máximo Banguera,Ángel Di María,,,,,
,,,,,,,,,,,,,,,,,,,,
215,2017-10-01,La Liga,Matchweek 7,Home,Barcelona,Las Palmas,Y*,0.52,0.83,Left Foot,12,77,2-0,Leandro Chichizola,Luis Suárez,Luis Suárez,Pass (Live),Ivan Rakitić,Pass (Live),
216,2017-10-01,La Liga,Matchweek 7,Home,Barcelona,Las Palmas,Y*,0.90,0.97,Left Foot,3,70,1-0,Leandro Chichizola,Denis Suárez,Lionel Messi,Dribble,Denis Suárez,Pass (Live),
217,2017-09-19,La Liga,Matchweek 5,Home,Barcelona,Eibar,Y,0.41,0.61,Left Foot,10,87,5-1,Marko Dmitrović,Aleix Vidal,Aleix Vidal,Pass (Live),Lionel Messi,Pass (Live),
218,2017-09-19,La Liga,Matchweek 5,Home,Barcelona,Eibar,Y,0.38,0.79,Left Foot,11,62,4-1,Marko Dmitrović,Paulinho,Paulinho,Pass (Live),Lionel Messi,Pass (Live),
219,2017-09-19,La Liga,Matchweek 5,Home,Barcelona,Eibar,Y,0.04,0.44,Left Foot,19,59,3-1,Marko Dmitrović,Sergio Busquets,Sergio Busquets,Pass (Live),Andrés Iniesta,Pass (Live),
220,2017-09-19,La Liga,Matchweek 5,Home,Barcelona,Eibar,Y,0.79,0.99,Left Foot,13,20,0-0,Marko Dmitrović,,Nélson Semedo,Fouled,Andrés Iniesta,Pass (Live),
221,2017-09-12,Champions Lg,Group stage,Home,Barcelona,Juventus,Y,0.16,0.40,Left Foot,17,69,2-0,Gianluigi Buffon,Andrés Iniesta,Lionel Messi,Dribble,Andrés Iniesta,Pass (Live),
222,2017-09-12,Champions Lg,Group stage,Home,Barcelona,Juventus,Y,0.05,0.67,Left Foot,17,45,0-0,Gianluigi Buffon,Luis Suárez,Luis Suárez,Pass (Live),Lionel Messi,Pass (Live),
223,2017-09-09,La Liga,Matchweek 3,Home,Barcelona,Espanyol,Y,0.43,0.88,Left Foot,10,67,2-0,Pau López,Jordi Alba,Jordi Alba,Pass (Live),Luis Suárez,Pass (Live),
224,2017-09-09,La Liga,Matchweek 3,Home,Barcelona,Espanyol,Y,0.67,0.79,Right Foot,4,35,1-0,Pau López,Jordi Alba,Jordi Alba,Pass (Live),,,
225,2017-09-09,La Liga,Matchweek 3,Home,Barcelona,Espanyol,Y,0.64,0.98,Left Foot,11,26,0-0,Pau López,Ivan Rakitić,Lionel Messi,Dribble,Ivan Rakitić,Pass (Live),
226,2017-08-26,La Liga,Matchweek 2,Away,Barcelona,Alavés,Y,0.31,0.55,Left Foot,13,66,1-0,Fernando Pacheco,Paco Alcácer,Paco Alcácer,Interception,,,Volley
227,2017-08-26,La Liga,Matchweek 2,Away,Barcelona,Alavés,Y,0.08,0.06,Left Foot,12,55,0-0,Fernando Pacheco,Jordi Alba,Jordi Alba,Pass (Live),Andrés Iniesta,Pass (Live),Deflected
228,2017-08-13,Supercopa de España,Supercopa de España,Neutral,Barcelona,Real Madrid,Y,,,,,77,0-1,Keylor Navas,,,,,,
229,2017-05-27,Copa del Rey,Final,Home,Barcelona,Alavés,Y,,,,,30,0-0,Fernando Pacheco,Neymar,,,,,
230,2017-05-21,La Liga,Matchweek 38,Home,Barcelona,Eibar,Y,,,,,90+2,3-2,Yoel,,,,,,
231,2017-05-21,La Liga,Matchweek 38,Home,Barcelona,Eibar,Y,,,,,75,2-2,Yoel,,,,,,
232,2017-05-06,La Liga,Matchweek 36,Home,Barcelona,Villarreal,Y,,,,,82,3-1,Andrés Fernández,,,,,,
233,2017-05-06,La Liga,Matchweek 36,Home,Barcelona,Villarreal,Y,,,,,45,1-1,Andrés Fernández,,,,,,
234,2017-04-26,La Liga,Matchweek 34,Home,Barcelona,Osasuna,Y*,,,,,61,3-1,Salvatore Sirigu,,,,,,
235,2017-04-26,La Liga,Matchweek 34,Home,Barcelona,Osasuna,Y*,,,,,12,0-0,Salvatore Sirigu,,,,,,
236,2017-04-23,La Liga,Matchweek 33,Away,Barcelona,Real Madrid,Y,,,,,90+2,2-2,Keylor Navas,Jordi Alba,,,,,
237,2017-04-23,La Liga,Matchweek 33,Away,Barcelona,Real Madrid,Y,,,,,33,0-1,Keylor Navas,Ivan Rakitić,,,,,
238,2017-04-15,La Liga,Matchweek 32,Home,Barcelona,Real Sociedad,Y*,,,,,37,1-0,Gerónimo Rulli,,,,,,
239,2017-04-15,La Liga,Matchweek 32,Home,Barcelona,Real Sociedad,Y*,,,,,17,0-0,Gerónimo Rulli,Luis Suárez,,,,,
240,2017-04-05,La Liga,Matchweek 30,Home,Barcelona,Sevilla,Y,,,,,33,2-0,Sergio Rico,,,,,,
241,2017-04-05,La Liga,Matchweek 30,Home,Barcelona,Sevilla,Y,,,,,28,1-0,Sergio Rico,Luis Suárez,,,,,
,,,,,,,,,,,,,,,,,,,,
242,2017-03-23,WCQ,WCQ — CONMEBOL (M),Home,Argentina,Chile,Y,,,,,16,0-0,Claudio Bravo,,,,,,
,,,,,,,,,,,,,,,,,,,,
243,2017-03-19,La Liga,Matchweek 28,Home,Barcelona,Valencia,Y,,,,,52,2-2,Diego Alves,Javier Mascherano,,,,,
244,2017-03-19,La Liga,Matchweek 28,Home,Barcelona,Valencia,Y,,,,,45,1-1,Diego Alves,,,,,,
245,2017-03-08,Champions Lg,Round of 16,Home,Barcelona,Paris S-G,Y,,,,,50,2-0,Kevin Trapp,,,,,,
246,2017-03-04,La Liga,Matchweek 26,Home,Barcelona,Celta Vigo,Y*,,,,,64,4-0,Sergio Álvarez,,,,,,
247,2017-03-04,La Liga,Matchweek 26,Home,Barcelona,Celta Vigo,Y*,,,,,24,0-0,Sergio Álvarez,Sergio Busquets,,,,,
248,2017-03-01,La Liga,Matchweek 25,Home,Barcelona,Sporting Gijón,Y*,,,,,9,0-0,Iván Cuéllar,Javier Mascherano,,,,,
249,2017-02-26,La Liga,Matchweek 24,Away,Barcelona,Atlético Madrid,Y*,,,,,86,1-1,Jan Oblak,,,,,,
250,2017-02-19,La Liga,Matchweek 23,Home,Barcelona,Leganés,Y*,,,,,90,1-1,Iago Herrerín,,,,,,
251,2017-02-19,La Liga,Matchweek 23,Home,Barcelona,Leganés,Y*,,,,,4,0-0,Iago Herrerín,Luis Suárez,,,,,
252,2017-02-11,La Liga,Matchweek 22,Away,Barcelona,Alavés,Y*,,,,,59,2-0,Fernando Pacheco,,,,,,
253,2017-02-04,La Liga,Matchweek 21,Home,Barcelona,Athletic Club,Y*,,,,,40,1-0,Gorka Iraizoz,,,,,,
254,2017-02-01,Copa del Rey,Semi-finals,Away,Barcelona,Atlético Madrid,Y,,,,,33,1-0,Miguel Ángel Moyá,Ivan Rakitić,,,,,
255,2017-01-26,Copa del Rey,Quarter-finals,Home,Barcelona,Real Sociedad,Y,,,,,55,1-0,Gerónimo Rulli,,,,,,
256,2017-01-22,La Liga,Matchweek 19,Away,Barcelona,Eibar,Y*,,,,,50,1-0,Yoel,Luis Suárez,,,,,
257,2017-01-14,La Liga,Matchweek 18,Home,Barcelona,Las Palmas,Y*,,,,,52,1-0,Javi Varas,,,,,,
258,2017-01-11,Copa del Rey,Round of 16,Home,Barcelona,Athletic Club,Y,,,,,78,2-1,Gorka Iraizoz,,,,,,
259,2017-01-08,La Liga,Matchweek 17,Away,Barcelona,Villarreal,Y,,,,,89,0-1,Sergio Asenjo,,,,,,
260,2017-01-05,Copa del Rey,Round of 16,Away,Barcelona,Athletic Club,Y,,,,,52,0-2,Gorka Iraizoz,,,,,,
261,2016-12-18,La Liga,Matchweek 16,Home,Barcelona,Espanyol,Y,,,,,90,3-1,Roberto,Luis Suárez,,,,,
262,2016-12-10,La Liga,Matchweek 15,Away,Barcelona,Osasuna,Y,,,,,90+2,2-0,Nauzet Pérez,Sergio Busquets,,,,,
263,2016-12-10,La Liga,Matchweek 15,Away,Barcelona,Osasuna,Y,,,,,72,1-0,Nauzet Pérez,Jordi Alba,,,,,
264,2016-12-06,Champions Lg,Group stage,Home,Barcelona,M'Gladbach,Y,,,,,16,0-0,Yann Sommer,Arda Turan,,,,,
265,2016-11-27,La Liga,Matchweek 13,Away,Barcelona,Real Sociedad,Y*,,,,,59,0-1,Gerónimo Rulli,Neymar,,,,,
266,2016-11-23,Champions Lg,Group stage,Away,Barcelona,Celtic,Y*,,,,,56,1-0,Craig Gordon,,,,,,
267,2016-11-23,Champions Lg,Group stage,Away,Barcelona,Celtic,Y*,,,,,24,0-0,Craig Gordon,Neymar,,,,,
,,,,,,,,,,,,,,,,,,,,
268,2016-11-15,WCQ,WCQ — CONMEBOL (M),Home,Argentina,Colombia,Y,,,,,9,0-0,David Ospina,,,,,,
,,,,,,,,,,,,,,,,,,,,
269,2016-11-06,La Liga,Matchweek 11,Away,Barcelona,Sevilla,Y*,,,,,43,0-1,Sergio Rico,Neymar,,,,,
270,2016-11-01,Champions Lg,Group stage,Away,Barcelona,Manchester City,Y*,,,,,21,0-0,Willy Caballero,Neymar,,,,,
271,2016-10-22,La Liga,Matchweek 9,Away,Barcelona,Valencia,Y,,,,,90+4,2-2,Diego Alves,,,,,,
272,2016-10-22,La Liga,Matchweek 9,Away,Barcelona,Valencia,Y,,,,,22,0-0,Diego Alves,Ivan Rakitić,,,,,
273,2016-10-19,Champions Lg,Group stage,Home,Barcelona,Manchester City,Y,,,,,69,2-0,Willy Caballero,Luis Suárez,,,,,
274,2016-10-19,Champions Lg,Group stage,Home,Barcelona,Manchester City,Y,,,,,61,1-0,Willy Caballero,Andrés Iniesta,,,,,
275,2016-10-19,Champions Lg,Group stage,Home,Barcelona,Manchester City,Y,,,,,17,0-0,Claudio Bravo,Andrés Iniesta,,,,,
276,2016-10-15,La Liga,Matchweek 8,Home,Barcelona,La Coruña,N,,,,,58,3-0,Germán Lux,Neymar,,,,,
277,2016-09-17,La Liga,Matchweek 4,Away,Barcelona,Leganés,Y,,,,,55,3-0,Jon Ander Serantes,,,,,,
278,2016-09-17,La Liga,Matchweek 4,Away,Barcelona,Leganés,Y,,,,,15,0-0,Jon Ander Serantes,Luis Suárez,,,,,
279,2016-09-13,Champions Lg,Group stage,Home,Barcelona,Celtic,Y*,,,,,60,4-0,Dorus de Vries,Luis Suárez,,,,,
280,2016-09-13,Champions Lg,Group stage,Home,Barcelona,Celtic,Y*,,,,,27,1-0,Dorus de Vries,Neymar,,,,,
281,2016-09-13,Champions Lg,Group stage,Home,Barcelona,Celtic,Y*,,,,,3,0-0,Dorus de Vries,Neymar,,,,,
,,,,,,,,,,,,,,,,,,,,
