Rk,Date,Comp,Round,Venue,Squad,Opponent,Start,xG,PSxG,Body Part,Distance,Minute,Score,Goalkeeper,Assist,GCA1,Type,GCA2,Type,Notes
32,2022-04-23,Ligue 1,Matchweek 34,Home,Paris S-G,Lens,Y,0.06,0.11,Left Foot,27,68,0-0,Jean-Louis Leca,Neymar,Neymar,Pass (Live),Kylian Mbappé,Pass (Live),
33,2022-04-03,Ligue 1,Matchweek 30,Home,Paris S-G,Lorient,Y,0.22,0.38,Left Foot,14,73,3-1,Matthieu Dreyer,Kylian Mbappé,Kylian Mbappé,Pass (Live),Kylian Mbappé,Dribble,
,,,,,,,,,,,,,,,,,,,,
34,2022-03-25,WCQ,WCQ — CONMEBOL (M),Home,Argentina,Venezuela,Y*,,,,,82,2-0,Wuilker Faríñez,Ángel Di María,,,,,
,,,,,,,,,,,,,,,,,,,,
35,2022-02-06,Ligue 1,Matchweek 23,Away,Paris S-G,Lille,Y,0.57,0.91,Left Foot,13,38,2-1,Ivo Grbić,,Lionel Messi,Dribble,Nuno Mendes,Pass (Live),
36,2021-12-07,Champions Lg,Group stage,Home,Paris S-G,Club Brugge,Y,0.79,0.99,Left Foot,13,76,3-1,Simon Mignolet,,Lionel Messi,Fouled,Marco Verratti,Pass (Live),
37,2021-12-07,Champions Lg,Group stage,Home,Paris S-G,Club Brugge,Y,0.05,0.25,Left Foot,21,38,2-0,Simon Mignolet,Kylian Mbappé,Kylian Mbappé,Pass (Live),Kylian Mbappé,Dribble,
38,2021-11-20,Ligue 1,Matchweek 14,Home,Paris S-G,Nantes,Y,0.10,0.48,Left Foot,22,87,2-1,Alban Lafont,Kylian Mbappé,Kylian Mbappé,Pass (Live),Leandro Paredes,Pass (Live),
39,2021-10-19,Champions Lg,Group stage,Home,Paris S-G,RB Leipzig,Y,0.79,0.86,Left Foot,13,74,2-2,Péter Gulácsi,,Kylian Mbappé,Fouled,Julian Draxler,Pass (Live),
40,2021-10-19,Champions Lg,Group stage,Home,Paris S-G,RB Leipzig,Y,0.95,0.99,Left Foot,0,67,1-2,Péter Gulácsi,,Lionel Messi,Shot,,,
,,,,,,,,,,,,,,,,,,,,
41,2021-10-10,WCQ,WCQ — CONMEBOL (M),Home,Argentina,Uruguay,Y*,,,,,38,0-0,Fernando Muslera,Giovani Lo Celso,,,,,
,,,,,,,,,,,,,,,,,,,,
42,2021-09-28,Champions Lg,Group stage,Home,Paris S-G,Manchester City,Y,0.06,0.28,Left Foot,21,74,1-0,Ederson,Kylian Mbappé,Kylian Mbappé,Pass (Live),Lionel Messi,Pass (Live),
,,,,,,,,,,,,,,,,,,,,
43,2021-09-09,WCQ,WCQ — CONMEBOL (M),Home,Argentina,Bolivia,Y*,,,,,88,2-0,Carlos Lampe,,,,,,
44,2021-09-09,WCQ,WCQ — CONMEBOL (M),Home,Argentina,Bolivia,Y*,,,,,64,1-0,Carlos Lampe,,,,,,
45,2021-09-09,WCQ,WCQ — CONMEBOL (M),Home,Argentina,Bolivia,Y*,,,,,14,0-0,Carlos Lampe,Leandro Paredes,,,,,
46,2021-07-03,Copa América,Quarter-finals,Neutral,Argentina,Ecuador,Y*,0.10,0.58,Left Foot,20,90+3,2-0,Hernán Galíndez,,Ángel Di María,Fouled,Ángel Di María,Dribble,
47,2021-06-28,Copa América,Group stage,Neutral,Argentina,Bolivia,Y*,0.31,0.64,Left Foot,27,42,2-0,Carlos Lampe,Sergio Agüero,Sergio Agüero,Pass (Live),Guido Rodríguez,Pass (Live),Volley
48,2021-06-28,Copa América,Group stage,Neutral,Argentina,Bolivia,Y*,0.79,0.99,Left Foot,13,30,1-0,Carlos Lampe,,Papu Gómez,Fouled,Lionel Messi,Pass (Live),
49,2021-06-14,Copa América,Group stage,Neutral,Argentina,Chile,Y*,0.07,0.54,Left Foot,27,33,0-0,Claudio Bravo,,Giovani Lo Celso,Fouled,Leandro Paredes,Pass (Live),
50,2021-06-03,WCQ,WCQ — CONMEBOL (M),Home,Argentina,Chile,Y*,,,,,24,0-0,Claudio Bravo,,,,,,
,,,,,,,,,,,,,,,,,,,,
51,2021-05-16,La Liga,Matchweek 37,Home,Barcelona,Celta Vigo,Y*,0.30,0.62,Head,9,28,0-0,Iván Villar,Sergio Busquets,Sergio Busquets,Pass (Live),Clément Lenglet,Pass (Live),
52,2021-05-11,La Liga,Matchweek 36,Away,Barcelona,Levante,Y*,0.06,0.33,Left Foot,14,25,0-0,Aitor Fernández,,,,,,Volley
53,2021-05-02,La Liga,Matchweek 34,Away,Barcelona,Valencia,Y*,0.05,0.06,Left Foot,32,69,2-1,Jasper Cillessen,,Lionel Messi,Fouled,Antoine Griezmann,Pass (Live),
54,2021-05-02,La Liga,Matchweek 34,Away,Barcelona,Valencia,Y*,0.84,0.89,Left Foot,3,57,0-1,Jasper Cillessen,,Pedri,Shot,,,
55,2021-04-29,La Liga,Matchweek 33,Home,Barcelona,Granada,Y*,0.25,0.89,Left Foot,10,23,0-0,Aarón Escandell,Antoine Griezmann,Antoine Griezmann,Pass (Live),Antoine Griezmann,Dribble,
56,2021-04-22,La Liga,Matchweek 31,Home,Barcelona,Getafe,Y*,0.25,0.16,Left Foot,3,33,2-1,David Soria,,Lionel Messi,Shot,,,
57,2021-04-22,La Liga,Matchweek 31,Home,Barcelona,Getafe,Y*,0.08,0.41,Left Foot,15,8,0-0,David Soria,Sergio Busquets,Sergio Busquets,Pass (Live),Gerard Piqué,Pass (Live),
58,2021-04-17,Copa del Rey,Final,Neutral,Barcelona,Athletic Club,Y*,,,,,72,3-0,Unai Simón,Jordi Alba,,,,,
59,2021-04-17,Copa del Rey,Final,Neutral,Barcelona,Athletic Club,Y*,,,,,68,2-0,Unai Simón,Frenkie de Jong,,,,,
60,2021-03-21,La Liga,Matchweek 28,Away,Barcelona,Real Sociedad,Y*,0.33,0.77,Left Foot,12,89,5-1,Álex Remiro,Jordi Alba,Jordi Alba,Pass (Live),Riqui Puig,Pass (Live),
61,2021-03-21,La Liga,Matchweek 28,Away,Barcelona,Real Sociedad,Y*,0.51,0.77,Left Foot,11,56,3-0,Álex Remiro,Sergio Busquets,Sergio Busquets,Pass (Live),Frenkie de Jong,Pass (Live),
62,2021-03-15,La Liga,Matchweek 27,Home,Barcelona,Huesca,Y*,0.03,0.34,Left Foot,26,90,3-1,Álvaro Fernández,Francisco Trincão,Francisco Trincão,Pass (Live),Riqui Puig,Pass (Live),Deflected
