idx,player_name,player_pics,teams
51,T. Vaclík,https://cdn.sofifa.com/players/204/120/22_60.png,"{' Olympiakos Piraeus', ' Czech Republic', ' Sevilla', ' Basel'}"
47,Andrés Fernández,https://cdn.sofifa.com/players/146/296/22_60.png,"{' Villarreal', ' Osasuna', ' Huesca', ' Granada', ' Porto'}"
48,Pepe Reina,https://cdn.sofifa.com/players/024/630/22_60.png,"{' Aston Villa', ' Spain', ' FC Bayern München', ' Villarreal', ' Lazio', ' Milan', ' Liverpool', ' Napoli'}"
49,W. Szczęsny,https://cdn.sofifa.com/players/186/153/22_60.png,"{' Brentford', ' Roma', ' Juventus', ' Arsenal', ' Poland'}"
50,G. Herrera,https://cdn.sofifa.com/players/215/251/22_60.png,"{' Yeni Malatyaspor', ' Talleres Córdoba'}"
41,C. Lucchetti,https://cdn.sofifa.com/players/156/483/22_60.png,"{' Atlético Tucumán', ' Boca Juniors'}"
55,K. Casteels,https://cdn.sofifa.com/players/192/984/22_60.png,"{' TSG Hoffenheim', ' Belgium', ' Werder Bremen', ' Genk', ' VfL Wolfsburg'}"
56,G. Rulli,https://cdn.sofifa.com/players/215/316/22_60.png,"{' Villarreal', ' Montpellier', ' Real Sociedad', ' Argentina', ' Estudiantes'}"
45,14 Pinto,https://cdn.sofifa.com/players/110/082/14_60.png,"{' Celta de Vigo', ' FC Barcelona'}"
46,U. Çakır,https://cdn.sofifa.com/players/226/300/22_60.png,"{' Turkey', ' Trabzonspor'}"
52,14 Cássio,https://cdn.sofifa.com/players/167/958/14_60.png,"{' Grêmio', ' Sparta Rotterdam', ' PSV', ' Corinthians'}"
44,J. Bursik,https://cdn.sofifa.com/players/240/784/22_60.png,"{' Peterborough United', ' Doncaster Rovers', ' Accrington Stanley', ' Stoke City'}"
53,Kiko Casilla,https://cdn.sofifa.com/players/177/644/22_60.png,"{' Real Madrid II', ' Spain', ' Real Madrid', ' Leeds United', ' Cádiz', ' Espanyol', ' Elche', ' Getafe', ' FC Cartagena'}"
57,Juan Carlos,https://cdn.sofifa.com/players/194/730/22_60.png,"{' Hércules', ' Girona', ' Córdoba', ' Lugo', ' Rayo Vallecano', ' Elche'}"
60,L. Mejía,https://cdn.sofifa.com/players/202/089/22_60.png,"{' Toulouse', ' Fénix', ' Unión Española', ' Nacional'}"
59,V. Stojković,https://cdn.sofifa.com/players/167/993/22_60.png,"{' Al Feiha', ' Nantes', ' Wigan Athletic', ' Sporting CP', ' Serbia', ' Nottingham Forest', ' Vitesse', ' Getafe'}"
54,A. Federici,https://cdn.sofifa.com/players/164/853/22_60.png,"{' Reading', ' Australia', ' AFC Bournemouth', ' Stoke City', ' Macarthur'}"
61,A. McGregor,https://cdn.sofifa.com/players/049/000/22_60.png,"{' Scotland', ' Hull City', ' Cardiff City', ' Rangers'}"
63,G. Arias,https://cdn.sofifa.com/players/223/249/22_60.png,"{' Racing Club', ' Chile', ' Defensa y Justicia'}"
64,P. Gulácsi,https://cdn.sofifa.com/players/185/122/22_60.png,"{' Hungary', ' Salzburg', ' RB Leipzig', ' Hereford United', ' Liverpool', ' Hull City'}"
