,player,teams
222,Gylfi Þór Sigurðsson,"['Tottenham', 'Crewe', 'Shrewsbury Town', 'Hoffenheim', 'Shrewsbury', 'Everton', 'Tottenham Hotspur', 'Swansea City', 'Crewe Alexandra', 'Reading', 'Swansea']"
223,Juan Cuadrado,"['Chelsea', 'Juventus', 'Lecce', 'Independiente …', 'Fiorentina', 'Medellín', 'Udinese']"
224,Lukáš Hrádecký,"['Esbjerg', 'Leverkusen', 'Bayer Leverkusen', 'Eintracht Fran…', 'Frankfurt', 'Brøndby']"
225,Danilo Luís Hélio Pereira,"['Porto', 'Marítimo', 'Aris', 'Roda', 'PSG', 'Parma', 'Roda JC']"
226,Rodrigo Moreno Machado,"['Bolton', 'Real Madrid', 'Leeds United U23', 'Benfica', 'Valencia', 'Leeds United', 'Leeds', 'Bolton Wanderers']"
227,Kevin Kampl,"['RB Leipzig', 'Bayer Leverkus…', 'Leverkusen', 'Bayer Leverkusen', 'Greuther Fürth', 'Dortmund', 'Salzburg', 'Osnabrück', 'Borussia Dortmund', 'Leipzig', 'Aalen', 'Greuther Fürth II']"
228,Nicolás Hernán Otamendi,"['Vélez Sarsfield', 'Atlético Mineiro', 'Vélez', 'Porto', 'Benfica', 'Valencia', 'Atl. Mineiro', 'Manchester City', 'Man City']"
229,Ronaldo Jailson Cabrais Petri,[]
230,Andrej Kramarić,"['Lokomotiva', 'Rijeka', 'Hoffenheim', 'Leicester City', 'Dinamo Zagreb', 'Leicester', 'Lokomotiva Zagreb']"
231,Wissam Ben Yedder,"['Toulouse II', 'Sevilla', 'Monaco', 'Toulouse']"
232,Naby Keïta,"['RB Leipzig', 'Liverpool', 'Salzburg', 'Istres', 'Leipzig']"
233,Thomas Strakosha,"['Salernitana', 'Lazio']"
234,Charles Mariano Aránguiz Sandoval,"['Quilmes', 'Bayer Leverkusen', 'Cobreloa', 'U. de Chile', 'Colo Colo', 'Universidad d…', 'Cobresal', 'Internacional', 'Udinese']"
235,Lourival Adnan Beretta Barbosa,[]
236,Leon Bailey Butler,"['Leverkusen', 'Bayer Leverkusen', 'Genk']"
237,Francesco Acerbi,"['Milan', 'Chievo', 'Genoa', 'Reggina', 'Pavia', 'Lazio', 'Sassuolo']"
238,Idrissa Gana Gueye,"['Lille', 'Lille II', 'Aston Villa', 'Everton', 'PSG']"
239,Mikel Oyarzabal Ugarte,"['Real Sociedad', 'Real Sociedad II']"
240,Josué Durval Chiamulera Vaz,[]
241,Mateo Kovačić,"['Chelsea', 'Inter', 'Internazionale', 'Real Madrid', 'Dinamo Zagreb']"
242,Gabriel Fernando de Jesus,"['Manchester City', 'Man City', 'Palmeiras']"
243,Lucas Torreira Di Pascua,"['Pescara', 'Sampdoria', 'Atlético', 'Atletico Madrid', 'Arsenal']"
244,Andrea Belotti,"['Palermo', 'AlbinoLeffe', 'Torino']"
245,Rúben Diogo da Silva Neves,"['Porto II', 'Wolverhampton', 'Wolverhampton …', 'Porto']"
246,Steven Bergwijn,"['PSV II', 'PSV', 'Tottenham', 'Tottenham Hotspur']"
247,Mattia Perin,"['Pescara', 'Juventus', 'Padova', 'Genoa']"
248,Nélson Cabral Semedo,"['Fátima', 'Wolverhampton …', 'Benfica II', 'Wolverhampton', 'Benfica', 'Barcelona']"
249,Alphonse Areola,"['Real Madrid', 'Villarreal', 'Bastia', 'PSG II', 'PSG', 'Lens', 'Fulham']"
250,André Onana,"['Ajax II', 'Ajax']"
251,Presnel Kimpembe,"['PSG', 'PSG II']"
252,Kerem Demirbay,"['Hamburger SV', 'Bayer Leverkusen', 'Leverkusen', 'Dortmund', 'Kaiserslautern', 'Düsseldorf', 'Hoffenheim', 'Fortuna Dusseldorf', 'Hamburger SV II', 'Hamburg', 'Borussia Dortm…']"
253,Hirving Rodrigo Lozano Bahena,"['PSV', 'Napoli', 'Pachuca']"
254,Ángel Correa,"['Atletico Madrid', 'San Lorenzo', 'Atlético']"
255,Gelson Dany Batalha Martins,"['Sporting CP', 'Monaco', 'Atlético', 'Atletico Madrid', 'Sporting CP II']"
256,Benjamin Lecomte,"['Monaco', 'Montpellier', 'Dijon', 'Lorient II', 'Lorient']"
257,Iñaki Williams Arthuer,"['Athletic Club', 'Athletic Club II']"
258,Stefan Savić,"['Atlético', 'Atletico Madrid', 'BSK Borča', 'Fiorentina', 'Borča', 'Man City', 'Manchester City', 'Partizan']"
259,Thomas Partey,"['Atlético Madrid II', 'Mallorca', 'Atlético', 'Atletico Madrid', 'Almería', 'Arsenal']"
260,Fernando Pacheco Flores,"['Real Madrid III', 'Alavés', 'Real Madrid', 'Real Madrid II', 'Deportivo Alavés']"
261,Joël Andre Job Matip,"['Liverpool', 'Schalke 04 II', 'Schalke 04']"
262,Antonio Rüdiger,"['Roma', 'Chelsea', 'Stuttgart II', 'Stuttgart', 'Chelsea U23']"
263,Jesús Joaquín Fernández Sáez,"['Liverpool', 'Milan', 'Genoa', 'Almería', 'Sevilla']"
264,Nicolás Alejandro Tagliafico,"['Murcia', 'Banfield', 'Independiente', 'Ajax', 'Real Murcia']"
265,David Soria Solís,"['Getafe', 'Sevilla', 'Sevilla II']"
266,Sergio  Asenjo Andrés,"['Villarreal', 'Real Valladolid', 'Atlético', 'Valladolid', 'Málaga', 'Atletico Madrid']"
267,Daniele Rugani,"['Juventus', 'Rennes', 'Empoli', 'Cagliari']"
268,Mario Götze,"['PSV', 'Dortmund', 'Bayern München', 'Borussia Dortmund', 'Bayern Munich', 'Borussia Dortm…']"
269,Oliver Baumann,"['Freiburg II', 'Hoffenheim', 'Freiburg']"
270,Ricardo Barbosa Pereira,"['Porto II', 'Guimarães', 'Vitoria Guimaraes', 'Leicester City U23', 'Leicester City', 'Porto', 'Vitória Guimar…', 'Leicester', 'Nice II', 'Nice']"
271,Thomas Delaney,"['København', 'Dortmund', 'Werder Bremen', 'Borussia Dortmund', 'Bremen']"
272,José Ignacio Fernández Iglesias,"['Real Madrid', 'Real Madrid II']"
273,Kevin Volland,"['Leverkusen', 'Bayer Leverkusen', '1860 München II', 'Monaco', 'Hoffenheim', '1860 München']"
274,Sergio Roberto Carnicer,"['Barcelona II', 'Barcelona']"
275,Iker Muniain Goñi,"['Athletic Club', 'Athletic Club II']"
276,Harry Maguire,"['Wigan Athletic', 'Hull City', 'Wigan', 'Manchester United', 'Leicester City', 'Hull', 'Sheffield United', 'Sheff Utd', 'Man Utd', 'Leicester']"
277,Emil Forsberg,"['RB Leipzig', 'GIF Sundsvall', 'Malmö', 'Sundsvall', 'Malmö FF', 'Leipzig']"
278,Thorgan Hazard,"[""Borussia M'gla…"", 'Chelsea', 'Zulte-Waregem', 'Dortmund', 'Lens II', ""M'gladbach"", 'Borussia Dortmund', 'ZW', 'Lens']"
279,Gabriel Armando de Abreu,"['Vitória', 'Arsenal', 'Villarreal', 'Valencia']"
280,Nico Schulz,"[""Borussia M'gla…"", 'Dortmund', 'Hertha BSC', 'Hoffenheim', ""M'gladbach"", 'Hertha BSC II', 'Borussia Dortmund']"
281,Daniele De Rossi,"['Roma', 'Boca Juniors']"
282,Willian José da Silva,"['Grêmio', 'Wolverhampton …', 'Las Palmas', 'Real Madrid', 'Grêmio Barueri', 'Santos', 'Real Sociedad', 'Wolverhampton', 'Real Madrid II', 'Maldonado', 'Zaragoza', 'Real Zaragoza', 'São Paulo']"
283,Matteo Politano,"['Pescara', 'Roma', 'Inter', 'Internazionale', 'Napoli', 'Perugia', 'Sassuolo']"
284,Filip Kostić,"['Hamburger SV', 'Stuttgart', 'Eintracht Fran…', 'Groningen', 'Radnički Kragu…', 'Radnički Krag', 'Frankfurt', 'Hamburg']"
285,Jérôme Roussillon,"['Montpellier', 'Wolfsburg', 'Sochaux', 'Sochaux II', 'Montpellier II']"
286,Rafael Alexandre Fernandes Ferreira da Silva,"['Braga', 'Sporting Braga', 'Benfica', 'Sporting Braga II', 'Feirense']"
287,José Manuel  Reina Páez,"['Liverpool', 'Milan', 'Villarreal', 'Bayern München', 'Napoli', 'Aston Villa', 'Barcelona', 'Bayern Munich', 'Lazio']"
288,Emiliano Viviano,"['Bologna', 'Inter', 'Sporting CP', 'SPAL', 'Internazionale', 'Fatih', 'Sampdoria', 'Palermo', 'Fiorentina', 'Brescia', 'Arsenal']"
289,Aritz Aduriz Zubeldia,"['Athletic Club', 'Mallorca', 'Real Valladolid', 'Burgos', 'Valladolid', 'Valencia']"
290,Jesús Navas González,"['Sevilla', 'Manchester City', 'Man City']"
291,Santiago Cazorla González,"['Recreativo Huelva', 'Huelva', 'Villarreal', 'Málaga', 'Sadd', 'Al Sadd', 'Arsenal']"
292,Lucas Rodrigo Biglia,"['Fatih', 'Milan', 'Independiente', 'Anderlecht', 'Lazio']"
293,Vedran Ćorluka,"['Lokomotiv Moscow', 'Leverkusen', 'Bayer Leverkusen', 'Tottenham', 'Lokomotiv M', 'Dinamo Zagreb', 'Tottenham Hotspur', 'Manchester City', 'Man City']"
294,Héctor Miguel Herrera López,"['Porto II', 'Atlético', 'Porto', 'Atletico Madrid', 'Pachuca']"
295,Willian Borges da Silva,"['Chelsea', 'Shakhtar D', 'Shakhtar Donetsk', 'Anzhi', 'Corinthians', 'Arsenal']"
296,Łukasz Fabiański,"['Legia Warszawa', 'Lech Poznań', 'Legia', 'West Ham United', 'Lech', 'Swansea City', 'West Ham', 'Arsenal', 'Swansea']"
297,Simon Thorup Kjær,"['Roma', 'Midtjylland', 'Lille', 'Milan', 'Fenerbahçe', 'Atalanta', 'Palermo', 'Wolfsburg', 'Sevilla']"
298,Juan Manuel Mata García,"['Chelsea', 'Real Madrid', 'Manchester United', 'Man Utd', 'Real Madrid II', 'Valencia']"
299,Alexis Alejandro Sánchez Sánchez,"['Inter', 'Internazionale', 'River Plate', 'Cobreloa', 'Manchester United', 'Colo Colo', 'Man Utd', 'Barcelona', 'Udinese', 'Arsenal']"
300,Marlos Romero Bonfim,"['Shakhtar D', 'Coritiba', 'Metalist Kh', 'Shakhtar Donetsk', 'Metalist', 'São Paulo']"
301,Giacomo Bonaventura,"['Milan', 'Padova', 'Atalanta', 'Fiorentina', 'Pergocrema']"
302,Olivier Giroud,"['Chelsea', 'Grenoble', 'Grenoble Foot 38', 'Tours', 'Istres', 'Montpellier', 'Arsenal']"
303,Giuliano Victor de Paula,"['Grêmio', 'Zenit', 'Fenerbahçe', 'Al Nassr', 'Nassr', 'Başakşehir', 'Internacional', 'Dnipro', 'Paraná', 'Dnipro Dniprop…']"
304,Mario  Barwuah Balotelli,"['Inter', 'Internazionale', 'Liverpool', 'Milan', 'Monza', 'Marseille', 'Olympique Mars…', 'Manchester City', 'Man City', 'Brescia', 'Nice']"
305,Taison Barcellos Freda,"['Shakhtar D', 'Shakhtar Donetsk', 'Metalist Kh', 'Internacional', 'Metalist']"
306,Bas Dost,"['Sporting CP', 'Club Brugge', 'Heerenveen', 'Eintracht Fran…', 'Wolfsburg', 'Emmen', 'Frankfurt', 'Heracles']"
307,Aleksandar Kolarov,"['Roma', 'Čukarički', 'Inter', 'OFK', 'OFK Beograd', 'Manchester City', 'Man City', 'Lazio']"
308,Marko Arnautović,"['Inter', 'Shanghai Port', 'Internazionale', 'Stoke City', 'West Ham United', 'Werder Bremen', 'Twente', 'West Ham', 'Stoke', 'Bremen']"
309,Ander Herrera Agüera,"['Athletic Club', 'Manchester United', 'Man Utd', 'PSG', 'Zaragoza', 'Real Zaragoza']"
310,Mário Figueira Fernandes,"['Grêmio', 'CSKA Moscow', 'CSKA']"
311,Pedro Eliezer Rodríguez Ledesma,"['Roma', 'Chelsea', 'Barcelona']"
312,Luuk de Jong,"[""Borussia M'gla…"", 'PSV', 'Newcastle', 'Newcastle United', ""M'gladbach"", 'Twente', 'De Graafschap', 'Sevilla']"
313,Cédric Bakambu,"['Guoan', 'Bursaspor', 'Villarreal', 'Sochaux', 'Sochaux II', 'Beijing Guoan']"
314,Sebastián Coates Nión,"['Liverpool', 'Sporting CP', 'Nacional', 'Sunderland']"
315,Stephan El Shaarawy,"['Roma', 'Monaco', 'Milan', 'Shenhua', 'Padova', 'Genoa', 'Shanghai Shenhua']"
316,Quincy Anton Promes,"['Spartak M', 'Ajax', 'Go Ahead Eagles', 'Spartak Moscow', 'Twente', 'Sevilla', 'Go Ahead']"
317,Jamie Vardy,"['Halifax Town', 'Leicester City', 'Leicester', 'Fleetwood Town', 'Fleetwood']"
318,Thomas Meunier,"['Club Brugge', 'Virton', 'Excelsior Virton', 'Borussia Dortmund', 'PSG']"
319,Duván Zapata,"['Sampdoria', 'Estudiantes', 'América', 'Napoli', 'Atalanta', 'Udinese', 'América de Cali']"
320,Xherdan Shaqiri,"['Inter', 'Internazionale', 'Stoke City', 'Liverpool', 'Bayern München', 'Basel', 'Bayern Munich', 'Stoke']"
321,Karim Bellarabi,"['Bayer Leverkus…', 'Leverkusen', 'Bayer Leverkusen', 'Eintracht Brau…', 'Braunschweig']"
322,Raphael William Anjos Rochedo,[]
323,Rosberto J. Dourado Santos,[]
324,José Luis Morales Nogales,"['Levante II', 'Eibar', 'Levante']"
325,Juan Everton Mestres de Mesquita,[]
326,Houssem Aouar,"['Olympique Lyonnais', 'Olympique Lyon…']"
327,Egidio Maestre Schetino,[]
328,Jesse Lingard,"['Derby County', 'West Ham United', 'Brighton', 'Manchester United', 'Leicester City', 'Derby', 'Birmingham City', 'Man Utd', 'Birmingham', 'Brighton & Hov…', 'Leicester', 'West Ham']"
329,José María Sildero,[]
330,Donny van de Beek,"['Ajax II', 'Man Utd', 'Manchester United', 'Ajax']"
331,Lautaro Martínez,"['Racing Club', 'Inter', 'Internazionale']"
332,Alessio Cragno,"['Cagliari', 'Virtus Lanciano', 'Benevento', 'Lanciano', 'Brescia']"
333,Tanguy NDombèlé Alvaro,"['Lyon', 'Tottenham', 'Amiens SC II', 'Amiens', 'Olympique Lyonnais', 'Tottenham Hotspur', 'Guingamp II', 'Amiens SC']"
334,Daniel Ceballos Fernández,"['Real Madrid', 'Betis', 'Real Betis II', 'Arsenal', 'Real Betis']"
335,Éder Gabriel Militão,"['São Paulo', 'Real Madrid', 'Porto']"
336,Victor Nilsson Lindelöf,"['Manchester United', 'Benfica II', 'Man Utd', 'Benfica', 'Västerås SK', 'Västerås']"
337,José Luís Gayà Peña,"['Valencia II', 'Valencia']"
338,Rafael Alcântara do Nascimento,"['Inter', 'Internazionale', 'Celta Vigo', 'Barcelona', 'PSG', 'Barcelona II']"
339,Piotr Zieliński,"['Udinese', 'Napoli', 'Empoli']"
340,Geoffrey Kondogbia,"['Inter', 'Internazionale', 'Monaco', 'Lens II', 'Atlético', 'Atletico Madrid', 'Valencia', 'Lens', 'Sevilla']"
341,Pablo Fornals Malla,"['Málaga', 'West Ham', 'Villarreal', 'West Ham United']"
342,Onyinye Wilfred Ndidi,"['Leicester City', 'Leicester', 'Genk']"
343,Granit Xhaka,"[""Borussia M'gla…"", 'Basel', 'Arsenal', ""M'gladbach""]"
344,Gerónimo Rulli,"['Estudiantes', 'Villarreal', 'Montpellier', 'Real Sociedad', 'Maldonado', 'Man City']"
345,Emre Can,"['Juventus', 'Leverkusen', 'Bayer Leverkusen', 'Dortmund', 'Liverpool', 'Bayern München', 'Bayern München II', 'Borussia Dortmund', 'Bayern Munich']"
346,Luke Shaw,"['Southampton', 'Man Utd', 'Manchester United', 'Manchester Uni…']"
347,David Neres Campos,"['Ajax II', 'São Paulo', 'Ajax']"
348,Abdoulaye Doucouré,"['Rennes', 'Granada', 'Rennes II', 'Everton', 'Watford']"
349,Josef Alexander Martínez,"['Thun', 'Caracas', 'Atlanta United', 'Young Boys', 'Torino']"
350,Yussuf Yurary Poulsen,"['RB Leipzig', 'Lyngby']"
351,Marcel Sabitzer,"['RB Leipzig', 'Salzburg', 'Rapid', 'Admira II', 'Rapid Wien', 'Leipzig', 'Admira']"
352,Timo Horn,"['Köln', 'Köln II']"
353,Armando Izzo,"['Napoli', 'Genoa', 'Avellino', 'Triestina', 'Torino']"
354,Willi Orban,"['RB Leipzig', 'Kaiserslautern', 'Kaiserslautern II', 'Leipzig']"
355,Alassane Plea,"[""Borussia M'gla…"", 'Lyon', 'Auxerre', ""M'gladbach"", 'Olympique Lyonnais', 'Olympique Lyon…', 'Nice']"
356,Matthias Ginter,"[""Borussia M'gla…"", 'Dortmund', ""M'gladbach"", 'Borussia Dortmund', 'Freiburg', 'Borussia Dortm…']"
357,Ryan Fraser,"['AFC Bournemouth', 'Newcastle', 'Newcastle United', 'Bournemouth', 'Aberdeen', 'Ipswich Town', 'Ipswich']"
358,Thiago Henrique Mendes Ribeiro,"['Lyon', 'Lille', 'Olympique Lyonnais', 'São Paulo', 'Goiás']"
359,Raphaël Guerreiro,"['Caen II', 'Dortmund', 'Caen', 'Borussia Dortmund', 'Lorient']"
360,Luka Milivojević,"['Olympiakos Piraeus', 'Rad Beograd', 'Crvena Zvezda', 'Crystal Palace', 'Rad', 'Anderlecht', 'Olympiakos']"
361,Adem Ljajić,"['Roma', 'Inter', 'Internazionale', 'Fiorentina', 'Beşiktaş', 'Partizan', 'Torino']"
362,Wout Weghorst,"['Wolfsburg', 'Heracles', 'Emmen', 'AZ']"
363,Marcelo Brozović,"['Lokomotiva', 'Inter', 'Internazionale', 'Hr Dragovoljac', 'Dinamo Zagreb', 'Hrvatski Drago…', 'Lokomotiva Zagreb']"
364,Ricardo Andrade Quaresma Bernardo,"['Kasımpaşa', 'Chelsea', 'Inter', 'Sporting CP', 'Guimarães', 'Internazionale', 'Porto', 'Barcelona', 'Beşiktaş', 'Shabab Al Ahli']"
365,Gerard Moreno Balagueró,"['Villarreal II', 'Mallorca', 'Villarreal', 'Espanyol']"
366,Jesús Corona,"['Twente', 'Twente II', 'Porto', 'Monterrey']"
367,João Mário Naval Costa Eduardo,"['Lokomotiv Moscow', 'Vitória Setúbal', 'Sporting CP', 'Inter', 'Internazionale', 'West Ham United', 'Lokomotiv M', 'Setúbal', 'West Ham', 'Sporting CP II']"
368,Tomáš Vaclík,"['Sparta Praha II', 'Viktoria Žižkov', 'Sparta', 'Basel', 'Sparta Praha', 'Vítkovice', 'Sevilla']"
369,Jérémy Mathieu,"['Sporting CP', 'Sochaux', 'Valencia', 'Barcelona', 'Toulouse']"
370,Jordi Masip López,"['Valladolid', 'Real Valladolid', 'Barcelona II', 'Barcelona']"
371,Lisandro López,"['Racing Club', 'Al Gharafa', 'Lyon', 'Porto', 'Olympique Lyonnais', 'Gharafa', 'Internacional', 'Atlanta United']"
372,James Philip Milner,"['Newcastle', 'Liverpool', 'Newcastle United', 'Aston Villa', 'Leeds United', 'Leeds', 'Manchester City', 'Man City', 'Swindon']"
373,Bafétimbi Gomis,"['Al Hilal', 'Lyon', 'Saint-Etienne', 'Marseille', 'Hilal', 'Galatasaray', 'Olympique Lyon…', 'Olympique Mars…', 'Olympique Lyonnais', 'Swansea City', 'Saint-Étienne', 'Swansea']"
374,Laurent Koscielny,"['Guingamp', 'Tours', 'Bordeaux', 'Arsenal U23', 'Lorient', 'Arsenal']"
375,Andrea Consigli,"['Atalanta', 'Rimini', 'Sassuolo']"
376,Moussa Sidi Yaya Dembélé,"['Tottenham', 'Beerschot', 'Willem II', 'Tottenham Hotspur', 'Guangzhou City', 'Fulham', 'AZ']"
377,Łukasz Piszczek,"['Dortmund', 'Hertha BSC', 'Zagłębie Lubin', 'Zagłębie', 'Hertha BSC II', 'Borussia Dortmund']"
378,José Andrés Guardado Hernández,"['La Coruña', 'PSV', 'Atlas', 'Bayer Leverkusen', 'Leverkusen', 'Deportivo La C…', 'Betis', 'Valencia', 'Real Betis']"
379,Benedikt Höwedes,"['Lokomotiv Moscow', 'Juventus', 'Lokomotiv M', 'Schalke 04 II', 'Schalke 04']"
380,Francesc Fàbregas i Soler,"['Chelsea', 'Monaco', 'Chelsea U23', 'Barcelona', 'Arsenal']"
381,Jardel Nivaldo Vieira,"['Ituano', 'Estoril', 'Benfica II', 'Benfica', 'Olhanense']"
382,Kévin Gameiro,"['Strasbourg', 'Atlético', 'Atletico Madrid', 'PSG', 'Valencia', 'Sevilla', 'Lorient']"
383,Renato  Soares de Oliveira Augusto,"['Leverkusen', 'Bayer Leverkusen', 'Corinthians', 'Flamengo', 'Beijing Guoan']"
384,José Miguel da Rocha Fonte,"['Vitória Setúbal', 'Paços Ferreira', 'Lille', 'West Ham United', 'Setúbal', 'Dalian Pro', 'West Ham', 'Benfica', 'Crystal Palace', 'Southampton', 'Paços de Ferreira', 'Estrela Amadora']"
385,Beñat Etxebarria Urkiaga,"['Athletic Club', 'Conquense', 'Betis', 'Macarthur', 'Real Betis II', 'Real Betis']"
386,Fernando Francisco Reges,"['Vila Nova', 'Porto', 'Galatasaray', 'Sevilla', 'Manchester City', 'Man City', 'Estrela Amadora']"
387,Moussa Sissoko,"['Newcastle', 'Tottenham', 'Newcastle United', 'Tottenham Hotspur', 'Toulouse']"
388,Fernando Muslera,"['Nacional', 'Galatasaray', 'Lazio', 'Wanderers']"
389,Marco Parolo,"['Verona', 'Città di Foligno', 'Como', 'Foligno', 'Lazio', 'Chievo', 'Hellas Verona', 'Cesena', 'Parma', 'Pistoiese']"
390,Dimitri  Payet,"['Lille', 'West Ham United', 'Saint-Etienne', 'Nantes', 'Marseille', 'Saint-Étienne II', 'Saint-Étienne', 'Olympique Mars…', 'West Ham']"
391,Antonio Adán Garrido,"['Real Madrid', 'Betis', 'Atlético', 'Atletico Madrid', 'Cagliari', 'Real Betis']"
392,Nicolas N'Koulou,"['Lyon', 'Monaco', 'Marseille', 'Olympique Mars…', 'Olympique Lyonnais', 'Olympique Lyon…', 'Torino']"
393,Luiz Gustavo Dias,"['Corinthians', 'Bayern München', 'Hoffenheim', 'Fenerbahçe', 'Marseille', 'Olympique Mars…', 'Wolfsburg', 'Bayern Munich', 'CRB']"
394,Sebastian Giovinco,"['Juventus', 'Al Hilal', 'Empoli', 'Hilal', 'Toronto', 'Parma']"
395,Nemanja Matić,"['Chelsea', 'Manchester United', 'Košice', 'Man Utd', 'Benfica', 'Vitesse']"
396,Saúl Marcelo Ardero,[]
397,Daniel García Carrillo,"['Alicante', 'Athletic Club', 'Getafe II', 'Real Sociedad', 'Eibar', 'Getafe']"
398,Jaime Nicolás Frendado,[]
399,Laureano Thomas Santeiro Marre,[]
400,Lucas Vázquez Iglesias,"['Real Madrid', 'Real Madrid II', 'Espanyol']"
401,André Gomes Magalhaes de Almeida,"['Benfica II', 'União Leiria', 'Benfica', 'União de Leiria', 'Belenenses']"
402,Luis Roberto Dálves,[]
403,Marcos Alonso Mendoza,"['Bolton', 'Chelsea', 'Real Madrid', 'Fiorentina', 'Bolton Wanderers', 'Sunderland']"
404,Henrikh Mkhitaryan,"['Roma', 'Pyunik', 'Shakhtar D', 'Dortmund', 'Manchester United', 'Shakhtar Donetsk', 'Metalurh D', 'Man Utd', 'Metalurh Donetsk', 'Borussia Dortmund', 'Arsenal']"
405,Franco Vázquez,"['Vallecano', 'Belgrano', 'Palermo', 'Sevilla', 'Rayo Vallecano']"
406,Segundo Mandíquez,[]
407,Osvaldo Nicolás Fabián Gaitán,"['Braga', 'Lille', 'Chicago', 'Boca Juniors', 'Atlético', 'Dalian Pro', 'Atletico Madrid', 'Benfica II', 'Benfica', 'Chicago Fire']"
408,Alessandro  Florenzi,"['Roma', 'Crotone', 'Valencia', 'PSG']"
409,Eran Zahavi,"['PSV', 'Hapoel TA', 'Maccabi Tel Aviv', 'Hapoel Tel Aviv', 'Palermo', 'Maccabi TA', 'Guangzhou City']"
410,João Félix Sequeira,"['Benfica II', 'Atletico Madrid', 'Benfica', 'Atlético']"
411,Marcos Javier Acuña,"['Racing Club', 'Sporting CP', 'Ferro Carril Oeste', 'Sevilla', 'Ferro']"
412,Nicolò Barella,"['Inter', 'Como', 'Internazionale', 'Cagliari']"
413,Joe Gomez,"['Liverpool', 'Liverpool U23', 'Charlton Athletic', 'Charlton']"
414,Youri Tielemans,"['Anderlecht', 'Leicester City', 'Leicester', 'Monaco']"
415,Mike Maignan,"['PSG', 'Lille II', 'Lille', 'PSG II']"
416,Mattia Caldara,"['Juventus', 'Trapani', 'Milan', 'Atalanta', 'Cesena']"
417,Carlos Soler Barragán,"['Valencia II', 'Valencia']"
418,Krzysztof Piątek,"['Cracovia Kraków', 'Hertha BSC', 'Milan', 'Zagłębie Lubin', 'Genoa', 'Zagłębie', 'Cracovia']"
419,Andreas Christensen,"[""Borussia M'gla…"", 'Chelsea', ""M'gladbach""]"
420,Mario Hermoso Canseco,"['Real Valladolid II', 'Real Madrid', 'Real Valladolid', 'Atlético', 'Valladolid', 'Atletico Madrid', 'Real Madrid II', 'Espanyol']"
421,Óscar Melendo Jiménez,"['Espanyol II', 'Espanyol']"
422,Odisseas Vlachodimos,"['Stuttgart II', 'Stuttgart', 'Panathinaikos', 'Benfica', 'Stuttgart U19']"
423,Héctor Bellerín Moruno,"['Watford', 'Arsenal U23', 'Arsenal']"
424,Ferland Mendy,"['Le Havre', 'Lyon', 'Real Madrid', 'Olympique Lyonnais', 'Le Havre II']"
425,Diogo José Teixeira da Silva,"['Wolverhampton …', 'Paços Ferreira', 'Liverpool', 'Porto', 'Atlético', 'Wolverhampton', 'Paços de Ferreira']"
426,Harry Winks,['Tottenham Hotspur']
427,Dominik Livaković,"['Zagreb', 'Dinamo Zagreb II', 'Dinamo Zagreb']"
428,Rúben Alves Dias,"['Benfica II', 'Manchester City', 'Man City', 'Benfica']"
429,Marcos Llorente Moreno,"['Alavés', 'Real Madrid', 'Atlético', 'Atletico Madrid', 'Real Madrid II', 'Deportivo Alavés']"
430,Maximilian Eggestein,"['Werder Bremen', 'Werder Bremen II', 'Werder Bremen U19']"
431,Benjamin Mendy,"['Le Havre', 'Manchester Cit…', 'Monaco', 'Marseille', 'Olympique Mars…', 'Le Havre II', 'Manchester City', 'Man City']"
432,Tiémoué Bakayoko,"['Chelsea', 'Rennes', 'Monaco', 'Milan', 'Napoli', 'Rennes II']"
433,Santiago Mina Lorenzo,"['Celta Vigo', 'Celta de Vigo II', 'Valencia']"
434,Marcos Paulo Mesquita Lopes,"['Monaco', 'Lille', 'Lille II', 'Monaco II', 'Sevilla', 'Manchester City', 'Man City', 'Nice']"
435,Lorenzo Morón García,"['Vélez', 'Betis', 'Real Betis II', 'Marbella', 'Real Betis']"
436,Keita Baldé,"['Inter', 'Monaco', 'Internazionale', 'Sampdoria', 'Lazio']"
437,Álvaro Odriozola Arzalluz,"['Real Madrid', 'Bayern München', 'Real Sociedad', 'Real Sociedad II', 'Bayern Munich']"
438,Maximiliano Gómez,"['Def. Sporting', 'Celta Vigo', 'Valencia', 'Defensor Sporting']"
439,Nathan Aké,"['AFC Bournemouth', 'Chelsea', 'Watford', 'Bournemouth', 'Manchester City', 'Man City', 'Reading']"
440,Moussa Dembélé,"['Lyon', 'Atlético', 'Celtic', 'Atletico Madrid', 'Olympique Lyonnais', 'Fulham']"
441,Valentin Rongier,"['Nantes II', 'Olympique Mars…', 'Nantes', 'Marseille']"
442,Elseid Hysaj,"['Napoli', 'Empoli']"
443,Leandro Paredes,"['Roma', 'Zenit', 'Empoli', 'Boca Juniors', 'Chievo', 'PSG']"
444,André Filipe Tavares Gomes,"['Benfica II', 'Everton', 'Benfica', 'Valencia', 'Barcelona']"
445,Joaquín Correa,"['Sampdoria', 'Sevilla', 'Estudiantes', 'Lazio']"
446,Alex Oxlade-Chamberlain,"['Liverpool', 'Liverpool U23', 'Arsenal', 'Southampton']"
447,Kurt Happy Zouma,"['Chelsea', 'Stoke City', 'Saint-Etienne', 'Saint-Étienne II', 'Saint-Étienne', 'Everton', 'Chelsea U23', 'Stoke']"
448,Sergi Darder Moll,"['Málaga', 'Olympique Lyonnais', 'Lyon', 'Espanyol']"
